;Workflow_Name;State;Created_at;Updated_at;Dev_time;Success_rate;Main_Branch_rate;Other_Branchs_rate;Mean(Execution time);Std_deviation(Execution time);Jobs_mean;Jobs_deviation;Total_runs;Runs_Analyzed;Mean Time Between runs;Std_deviation Time Between runs;runs_freq;Pipeline_Structure
0;BrowserStack;active;2019-12-24;2020-11-21;332 days 13:16:20;2.0 %;22.0 %;78.0 %;0:04:14;0:01:41;1;0.0;10012;100;2:23:32;4:01:49;2022-07: 100.0 % / ;browserstack / 
1;Bundlewatch;active;2020-04-15;2020-11-21;219 days 16:12:34;96.94 %;14.0 %;86.0 %;0:00:58;0:00:11;1;0.0;19512;100;1:27:15;3:18:45;2022-07: 100.0 % / ;bundlewatch / 
2;CodeQL;active;2020-04-29;2020-10-27;180 days 21:41:26;100.0 %;25.0 %;75.0 %;0:02:04;0:00:31;1;0.0;13291;100;2:09:19;3:30:43;2022-07: 100.0 % / ;Analyze / 
3;cspell;active;2021-12-21;2022-01-30;39 days 22:28:31;100.0 %;16.0 %;84.0 %;0:00:28;0:00:09;1;0.0;3066;100;1:50:12;3:32:20;2022-07: 100.0 % / ;cspell / 
4;CSS;active;2019-12-24;2020-11-21;332 days 13:16:19;97.96 %;14.0 %;86.0 %;0:00:45;0:00:10;1;0.0;19256;100;1:27:15;3:18:45;2022-07: 100.0 % / ;css / 
5;CSS (Dart Sass);active;2020-01-23;2020-10-29;279 days 22:54:58;100.0 %;0.0 %;100.0 %;0:00:25;0:00:08;1;0.0;5284;100;16:41:00;2 days, 12:16:27;2022-07: 18.0 % / 2022-06: 50.0 % / 2022-05: 32.0 % / ;css / 
6;Docs;active;2019-12-24;2020-11-21;332 days 13:16:18;70.41 %;14.0 %;86.0 %;0:00:51;0:00:14;1;0.0;19261;100;1:27:15;3:18:45;2022-07: 100.0 % / ;docs / 
7;JS Tests;active;2019-12-24;2021-04-22;484 days 18:22:36;98.98 %;14.0 %;86.0 %;0:01:41;0:00:17;1;0.0;19257;100;1:27:15;3:18:45;2022-07: 100.0 % / ;JS Tests / 
8;Lint;active;2019-12-24;2020-11-21;332 days 13:16:21;95.92 %;14.0 %;86.0 %;0:00:50;0:00:08;1;0.0;19263;100;1:27:15;3:18:45;2022-07: 100.0 % / ;lint / 
9;CSS (node-sass);active;2020-09-23;2020-11-21;58 days 21:26:06;100.0 %;16.0 %;84.0 %;0:00:33;0:00:07;1;0.0;13907;100;1:50:12;3:32:20;2022-07: 100.0 % / ;css / 
10;Release notes;active;2020-03-30;2020-05-07;37 days 23:19:29;100.0 %;100.0 %;0.0 %;0:00:25;0:00:15;1;0.0;1912;100;14:07:35;21:13:56;2022-07: 23.0 % / 2022-06: 47.0 % / 2022-05: 30.0 % / ;update_release_draft / 
11;pages-build-deployment;active;2022-02-22;2022-02-22;0:00:00;100.0 %;0.0 %;100.0 %;0:01:03;0:00:09;2.75;0.5;4;4;37 days, 12:47:14;36 days, 20:59:35;2022-06: 25.0 % / 2022-05: 50.0 % / 2022-02: 25.0 % / ;build / deploy / report-build-status / 
