;workflow_name;workflow_state;temp_start;temp_close;diff_temp;runs_mean_time;runs_sd_time;runs_mean_time_between_executions;runs_sd_time_between_executions;mean_jobs;sd_jobs;perc_sucess;perc_branch_main;perc_branch_outros;n_runs;n_runs_analyzed;runs_freq
0;BrowserStack;active;2019-12-24T13:28:39.000-03:00;2020-11-21T02:44:59.000-03:00;332 days 13:16:20;0:04:05;0:01:06;1:54:24;5:17:51;1;0.0;15.0 %;22.0 %;78.0 %;9314;100;2022-04: 100.0 % / 
1;Bundlewatch;active;2020-04-15T10:32:25.000-03:00;2020-11-21T02:44:59.000-03:00;219 days 16:12:34;0:00:56;0:00:08;0:35:30;1:12:02;1;0.0;96.0 %;7.0 %;93.0 %;18187;100;2022-04: 100.0 % / 
2;CodeQL;active;2020-04-29T04:06:46.000-03:00;2020-10-27T01:48:12.000-03:00;180 days 21:41:26;0:02:04;0:00:18;0:43:19;1:06:27;1;0.0;100.0 %;13.0 %;87.0 %;12381;100;2022-04: 100.0 % / 
3;cspell;active;2021-12-21T13:11:04.000-03:00;2022-01-30T11:39:35.000-03:00;39 days 22:28:31;0:00:28;0:00:11;0:35:42;1:13:40;1;0.0;98.0 %;8.0 %;92.0 %;1846;100;2022-04: 100.0 % / 
4;CSS;active;2019-12-24T13:28:40.000-03:00;2020-11-21T02:44:59.000-03:00;332 days 13:16:19;0:00:45;0:00:13;0:35:30;1:12:02;1;0.0;100.0 %;7.0 %;93.0 %;17931;100;2022-04: 100.0 % / 
5;CSS (Dart Sass);active;2020-01-23T13:59:19.000-03:00;2020-10-29T12:54:17.000-03:00;279 days 22:54:58;0:00:26;0:00:04;1 day, 17:14:24;4 days, 23:26:19;1;0.0;100.0 %;0.0 %;100.0 %;5179;100;2022-04: 15.0 % / 2022-03: 10.0 % / 2022-02: 7.0 % / 2022-01: 14.0 % / 2021-12: 25.0 % / 2021-11: 6.0 % / 2021-10: 23.0 % / 
6;Docs;active;2019-12-24T13:28:41.000-03:00;2020-11-21T02:44:59.000-03:00;332 days 13:16:18;0:00:48;0:00:15;0:35:30;1:12:02;1;0.0;93.0 %;7.0 %;93.0 %;17936;100;2022-04: 100.0 % / 
7;JS Tests;active;2019-12-24T13:28:38.000-03:00;2021-04-22T07:51:14.000-03:00;484 days 18:22:36;0:01:40;0:00:17;0:35:30;1:12:02;1;0.0;94.0 %;7.0 %;93.0 %;17932;100;2022-04: 100.0 % / 
8;Lint;active;2019-12-24T13:28:38.000-03:00;2020-11-21T02:44:59.000-03:00;332 days 13:16:21;0:00:49;0:00:11;0:35:30;1:12:02;1;0.0;90.0 %;7.0 %;93.0 %;17938;100;2022-04: 100.0 % / 
9;CSS (node-sass);active;2020-09-23T05:18:53.000-03:00;2020-11-21T02:44:59.000-03:00;58 days 21:26:06;0:00:35;0:00:12;0:35:42;1:13:40;1;0.0;100.0 %;8.0 %;92.0 %;12687;100;2022-04: 100.0 % / 
10;Release notes;active;2020-03-30T15:35:00.000-03:00;2020-05-07T14:54:29.000-03:00;37 days 23:19:29;0:00:37;0:00:42;10:50:11;20:31:12;1;0.0;100.0 %;100.0 %;0.0 %;1739;100;2022-04: 42.0 % / 2022-03: 58.0 % / 
11;pages-build-deployment;active;2022-02-22T04:57:08.000-03:00;2022-02-22T04:57:08.000-03:00;0:00:00;0:00:53;-1;-1;-1;2;-1;100.0 %;0.0 %;100.0 %;1;1;2022-02: 100.0 % / 
